source_layer,source_person,source_name_status,NH_target,claim_type,earlier_source_status,onomastic_basis,independent_provenance,forensic_label
Saxo+Shakespeare,Amleth/Hamlet,inherited Amleth->Hamlet,Jesus/Andronicus,central_identity,present_in_Saxo,"no direct proper-name derivation identified in this dossier","Amleth is inherited from the Scandinavian source tradition",PARTIAL
Saxo+Shakespeare,Horwendil/Old Hamlet,Horwendil renamed Old Hamlet,John the Baptist,central_identity,present_in_Saxo,"no direct proper-name match; NH additionally derives Ghost/shadow language toward John via permissive letter transformations","Old Hamlet is Shakespeare's renamed father role",ROLE_FUSION
Saxo+Shakespeare,Gerutha/Gertrude,inherited/modified Gerutha->Gertrude,Herodias,central_identity,present_in_Saxo,"no direct proper-name derivation","Gerutha/Gertrude is inherited from source tradition",ROLE_FUSION
Shakespeare,Gertrude,Shakespeare form,Virgin Mary / Mary Magdalene / Lucretia,scene_specific_identity,Gerutha_present_but_these_roles_late_interpretation,"no direct name derivation","same source actor is reused by NH for several distinct prototypes",ROLE_FUSION
Saxo+Shakespeare,Feng/Claudius,Feng renamed Claudius,Herod,central_identity,present_in_Saxo,"no direct proper-name derivation","Claudius is Shakespeare's name for Feng role",PARTIAL
Shakespeare,Ophelia,new_name_for_unnamed_Saxo_woman,sinner/adulteress and Procla,scene_specific_identity,unnamed_woman_present_in_Saxo,"NH: OFELIA with F->B yields BL, suggested echo of Russian 'blud'; NH itself says this has no independent weight","name may derive from Sannazaro's Arcadia; Shakespeare names a previously unnamed source figure",ONOMASTIC_WEAK
Shakespeare,Polonius,new_name_for_unnamed_Saxo_counsellor,Pontius Pilate,scene_specific_identity,unnamed_counsellor_present_in_Saxo,"NH removes vowels and allows rearrangement/repetition: PLN vs PLT-PNT -> PLN(T)","Q1 uses Corambis; scholarship also links Polonius to Polish/Polonian context",ONOMASTIC_WEAK
Shakespeare,Rosencrantz,new_name_for_unnamed_Saxo_escort,Judas Iscariot,scene_specific_identity,unnamed_escort_present_in_Saxo,"no name similarity claimed","name absent from sources; ISE identifies Rosencrantz as a 16th-century Danish aristocratic name",LATE_LAYER
Shakespeare,Guildenstern,new_name_for_unnamed_Saxo_escort,Judas Iscariot,scene_specific_identity,unnamed_escort_present_in_Saxo,"no name similarity claimed","name absent from sources; ISE identifies Guildenstern as a 16th-century Danish aristocratic name",LATE_LAYER
Shakespeare,Laertes,Shakespeare-added_character,Judas Iscariot,scene_specific_identity,absent_from_Saxo,"NH speculates Laertes may relate to Iscariot but supplies no ordinary linguistic derivation","ISE notes Shakespeare adds Laertes and his revenge line",LATE_LAYER
Shakespeare,Old Hamlet Ghost,same Old Hamlet role,John Baptist / John-resurrection / Lazarus-resurrection / shadow of Jesus,scene_complex,ghost_absent_from_Saxo,"NH layers several prototype scenes onto the Ghost episode","Saxo has no paternal ghost",ROLE_FUSION
NH_reconstruction,Prince Hamlet,same Hamlet role,Jesus/Andronicus and partly John Baptist,global_reconstruction,present_in_Saxo,"NH later list explicitly counts both Old Hamlet and Prince Hamlet among John-Baptist reflections","same source hero receives more than one prototype identity",ROLE_FUSION
